id,reference1,reference2,reference3,reference4,reference5,candidate,score
191003285_edd8d0cf58.jpg,一个男人和一个女孩坐在地上吃东西,一个男人和一个小女孩正坐在人行道上在蓝色的袋子旁边吃东西,一个男人和一个年轻女孩在一个城市街道上吃饭,一个穿着黑色衬衫的男子和一个穿着橙色衬衫的女孩坐在人行道上吃东西,穿着黑色衬衫的男人和一个穿着橘黄色连衣裙的小女孩正共享一顿美餐,一个孩子坐在墙上,1.4
1917265421_aeccf1ca38.jpg,人群中孩子们参加一项与猪有关的运动,孩子们和猪玩耍,人们聚集在一起看一群孩子和一头猪,一个孩子在一群人的围观下爱抚一头猪,年轻的孩子们正在抚摸一只小猪,孩子们在草地上的一堆泥,3.2
1962729184_6996e128e7.jpg,一个女孩在与其他孩子一起等待上学之前亲吻她的母亲,一群穿着蓝衣服的小孩站在一扇门前,一群身穿校服的学生站在门前,在水域附近的人群,一群穿着校服的孩子站在大门口一个正在吻别她的母亲,一群人在一个明亮的灯光下行走,4.0
197107117_4b438b1872.jpg,一个登山者从山顶往下看,一个人在两个巨大的岩石面间攀岩,一个攀岩者攀爬在两个非常大的岩石间,在湛蓝天空的映衬下一个攀岩者在峭壁上探出身子,两座大山高耸入空中而一个人正在尝试攀登其中一座,一个人爬上一座岩石墙看着身后的树,3.2
197504190_fd1fc3d4b7.jpg,两个男孩在草地上踢足球,两个孩子在草地上玩足球,两个孩子在草地上玩一个球,两个孩子在公园踢足球,两个小男孩正在户外玩足球在一片绿草地上,一个男人在一个黄色的背心在一个愉快的公园里,2.8
1982852140_56425fa7a2.jpg,一个成年人和一个孩子在沙滩上跑,一个女人和一个小女孩在大海边的沙滩上玩耍,两个人沿着沙滩跑其中一个人正在指方向,两个人在沙滩上奔跑,两个人在海岸上奔跑,一个人在海洋中跳跃的人,3.8
1998457059_c9ac9a1e1a.jpg,一个滑板者被海浪拍倒在海滩上而其他冲浪者站在水中,一个拿着黄色冲浪板的小孩正在被一个大浪推着,四个游泳者带着冲浪板在水晶蓝的海洋中游泳,海洋里人们冲浪站着,在一个充满游客的沙滩上一些冲浪者正乘着浪,两只狗在水中玩耍,3.4
200771289_31902164a7.jpg,男人戴着墨镜背对着相机,两个在一些帐篷附近的背着背包的男人的背部,两个穿着黑色防弹背心的男人看着照片右边发生的一些事情,两个穿着黑外套的男人背着背包,两个穿着防弹背心的男人在白色帐篷旁边观察人群,一个穿着蓝色的小男孩在一起跳舞,2.4
2021613437_d99731f986.jpg,一个男孩在体育馆运球,一个男孩在体育馆里运球,一个穿着一件史蒂夫纳什短袖的小男孩在室内篮球场上运球,一个穿着灰色T恤的孩子在篮球场上打篮球,一个小男孩在排他的篮球,一个小女孩在走廊上跑了一个蹒跚学步的孩子,2.4
2041867793_552819a40b.jpg,一个孩子拿着一张纸面具挡在脸上坐在餐桌旁,一个带着面具的孩子坐在一张桌子前面前有一个盘子,一个戴着面具的小孩子,小孩子在一家餐厅里带着纸面具摆着造型,在饭店里男孩带着一个硬纸板制的潜水面具,一个人坐在一辆红色的汽车里,2.4
2054869561_ff723e9eab.jpg,一只黑白相间的狗在追一个粉色飞盘,一只黑白相间的狗正追着一个飞盘,一只黑白相间的狗正在球场看着一个粉红色的飞盘,黑白相间的狗与在他身边的粉色飞盘一起跑着,一只狗在人工草皮上奔跑着去追一个飞盘,一只白色的狗在空中跳跃着,1.8
2061144717_5b3a1864f0.jpg,一个男人和一个孩子站在长椅附近的室外楼梯下,一个男人和一个小男孩正在户外的园区里站着看着彼此,一个男人正在斗兽场和一个男孩谈话,在一个空荡的区域一个男人和一个男孩交谈,那个男人和男孩正站在户外台阶的底部,一个滑板跨越楼梯在一个城市,4.0
2061354254_faa5bd294b.jpg,男人推了男孩一把男孩从丁字架滑下,在操场上一个小男孩被一个大人推着,一个小男孩正从滑轮秋千上滑下来,一个男人把一个男孩推上飞索,一个笑着的男孩从一根选挂着的绳子上滑下来,一个女人和一个女孩在公园里玩玩具,1.4
2064790732_219e52e19c.jpg,一个光着上身的男孩在街上跑有几个人站在他身后,一个小男孩在城市的街道跳舞背后有一群人,一个小男孩在成年人围着的混凝土地上跳舞,这个没有穿着衬衫的小男孩在一群人中奔跑,那个赤膊的小男孩正在围着成年人走,在繁忙的街道上的妇女和女人,1.8
